unnamed:_0,id,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
24,YK32760,Oregon,2502.209885,No,Basic,High School or Below,2011-02-15,Unemployed,M,0,Suburban,Divorced,74,26.0,95,1.0,1,Corporate Auto,Corporate L1,Offer1,Agent,355.2,Four-Door Car,Medsize,A,2
25,AY59197,Nevada,9521.222806,No,Extended,College,2011-01-24,Employed,M,27769,Rural,Married,121,24.0,78,0.0,6,Special Auto,Special L3,Offer4,Agent,123.15416,SUV,Small,A,1
26,XF15789,Arizona,8869.619888,No,Basic,College,2011-02-21,Employed,F,81350,Rural,Married,110,1.0,28,0.0,9,Personal Auto,Personal L3,Offer3,Branch,228.185834,SUV,Large,A,2
28,CI99444,Nevada,2926.886293,No,Basic,College,2011-02-22,Employed,F,92381,Urban,Married,72,24.0,27,0.0,1,Special Auto,Special L2,Offer2,Call Center,234.774747,Four-Door Car,Medsize,A,2
30,GX19342,California,8491.465719,No,Premium,High School or Below,2011-01-28,Unemployed,F,0,Suburban,Single,116,3.0,97,0.0,3,Personal Auto,Personal L3,Offer1,Branch,1193.115879,Four-Door Car,Large,A,1
32,OJ63606,Arizona,5776.338737,No,Premium,High School or Below,2011-01-28,Medical Leave,F,27510,Suburban,Married,159,5.0,28,3.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,871.457982,SUV,Small,A,1
39,XD72019,Oregon,8470.043225,No,Extended,Bachelor,2011-02-19,Unemployed,F,0,Suburban,Single,82,1.0,13,0.0,2,Personal Auto,Personal L2,Offer2,Web,479.312226,Four-Door Car,Large,A,2
40,RR93140,California,2880.348532,No,Basic,College,2011-01-05,Employed,F,81565,Urban,Married,71,19.0,54,0.0,1,Personal Auto,Personal L2,Offer2,Branch,190.642833,Four-Door Car,Medsize,A,1
42,PV62583,Nevada,9799.175061,No,Extended,College,2011-01-03,Medical Leave,M,22166,Suburban,Married,126,10.0,22,0.0,6,Personal Auto,Personal L3,Offer1,Web,604.8,SUV,Medsize,A,1
43,BL12371,Arizona,5790.565333,No,Basic,Master,2011-02-03,Employed,M,84551,Rural,Divorced,72,10.0,82,0.0,5,Personal Auto,Personal L3,Offer2,Agent,28.92584,Four-Door Car,Large,A,2
45,RI22468,Arizona,5745.94334,No,Basic,Bachelor,2011-01-22,Employed,F,57740,Urban,Married,74,30.0,87,3.0,9,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize,A,1
48,UY32623,California,3593.12645,No,Extended,College,2011-02-05,Disabled,F,18213,Suburban,Divorced,96,12.0,43,1.0,1,Corporate Auto,Corporate L2,Offer1,Branch,460.8,Four-Door Car,Large,A,2
49,QV30663,Nevada,9863.502214,No,Extended,Master,2011-02-28,Employed,F,99654,Rural,Married,121,13.0,95,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,272.788141,SUV,Medsize,A,2
50,MS94619,California,5111.304579,No,Basic,High School or Below,2011-02-13,Employed,F,76448,Suburban,Married,63,9.0,13,0.0,3,Personal Auto,Personal L3,Offer3,Web,302.4,Four-Door Car,Medsize,A,2
51,FT56968,Arizona,2590.096027,No,Basic,High School or Below,2011-01-03,Employed,M,22398,Suburban,Married,67,15.11182,76,0.386309,1,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Large,A,1
55,XQ74827,Arizona,19435.62924,No,Extended,High School or Below,2011-02-01,Employed,F,38688,Suburban,Single,249,22.0,6,0.0,3,Special Auto,Special L3,Offer1,Agent,2294.631639,Luxury Car,Medsize,A,2
57,GB43363,Oregon,6870.607058,No,Premium,College,2011-01-24,Unemployed,M,0,Suburban,Single,105,5.0,87,0.0,3,Personal Auto,Personal L3,Offer1,Branch,756.0,Four-Door Car,Small,A,1
60,IQ95180,Oregon,5651.396772,No,Basic,Bachelor,2011-01-19,Employed,M,44634,Suburban,Married,71,16.0,99,1.0,9,Personal Auto,Personal L3,Offer1,Branch,396.035334,Four-Door Car,Small,A,1
61,JX52708,California,4556.068318,No,Basic,Bachelor,2011-02-14,Medical Leave,M,25617,Suburban,Divorced,63,22.0,3,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,302.4,Two-Door Car,Medsize,A,2
64,WL24392,Arizona,5860.16743,No,Basic,Bachelor,2011-02-01,Employed,M,94527,Rural,Married,73,16.0,32,0.0,3,Personal Auto,Personal L1,Offer1,Agent,41.464402,Four-Door Car,Medsize,A,2
66,UO54511,California,4950.250892,No,Basic,High School or Below,2011-01-20,Employed,F,27400,Suburban,Married,63,14.0,78,1.0,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,A,1
67,KR35099,Washington,7507.455372,Yes,Basic,College,2011-02-06,Employed,M,60920,Urban,Single,64,15.11182,61,0.386309,2,Personal Auto,Personal L3,Offer2,Agent,231.201886,Two-Door Car,Medsize,A,2
68,NY12562,Nevada,2224.089639,No,Basic,College,2011-01-05,Unemployed,F,0,Suburban,Single,64,20.0,4,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,483.25721,Four-Door Car,Medsize,A,1
69,QG27547,Oregon,2867.312197,Yes,Extended,Bachelor,2011-01-03,Retired,F,23376,Suburban,Divorced,78,19.0,18,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A,1
71,LO37570,Arizona,12157.5413,No,Extended,High School or Below,2011-01-07,Employed,M,40432,Suburban,Married,77,21.0,66,0.0,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,A,1
78,LN28900,California,14687.07959,No,Extended,Bachelor,2011-02-23,Unemployed,M,0,Suburban,Single,85,3.0,61,0.0,2,Personal Auto,Personal L1,Offer1,Web,612.0,Four-Door Car,Small,A,2
80,VM85555,California,7750.120323,No,Basic,College,2011-02-23,Employed,F,22668,Rural,Single,67,5.0,34,1.0,2,Personal Auto,Personal L2,Offer3,Branch,33.718553,Four-Door Car,Medsize,A,2
82,FR48094,Arizona,2456.816127,No,Basic,High School or Below,2011-02-15,Unemployed,M,0,Suburban,Single,73,15.0,59,0.0,1,Personal Auto,Personal L3,Offer4,Branch,525.6,Four-Door Car,Small,A,2
85,CH50584,Oregon,32474.76977,No,Basic,High School or Below,2011-01-22,Employed,M,71449,Suburban,Divorced,102,17.0,7,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,734.4,SUV,Small,A,1
86,WM19996,California,8349.523082,No,Basic,Bachelor,2011-01-09,Employed,M,45428,Urban,Divorced,109,15.11182,46,0.386309,3,Corporate Auto,Corporate L3,Offer1,Call Center,487.273964,SUV,Medsize,A,1
90,KO86181,Oregon,6941.872931,No,Basic,College,2011-02-11,Unemployed,F,0,Suburban,Single,111,3.0,73,3.0,6,Personal Auto,Personal L3,Offer1,Agent,532.8,SUV,Small,A,2
95,NB81923,Washington,7294.492993,No,Basic,College,2011-02-24,Unemployed,F,0,Suburban,Single,113,12.0,66,2.0,7,Personal Auto,Personal L3,Offer1,Call Center,733.737214,Sports Car,Medsize,A,2
98,PK23339,Arizona,3417.953745,No,Extended,High School or Below,2011-01-25,Employed,F,72460,Urban,Married,85,9.0,76,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,370.018108,Four-Door Car,Medsize,A,1
101,UV12583,California,4700.583771,No,Basic,College,2011-02-18,Employed,F,76694,Suburban,Married,117,34.0,23,0.0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,A,2
102,VG56765,Arizona,2471.528431,Yes,Basic,High School or Below,2011-01-15,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,A,1
103,AK11669,Arizona,10130.93442,No,Extended,Doctor,2011-01-17,Employed,F,59232,Suburban,Divorced,85,6.0,75,0.0,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,A,1
105,MS87381,California,23866.15656,No,Extended,High School or Below,2011-02-14,Unemployed,F,0,Suburban,Married,81,27.0,93,1.0,2,Personal Auto,Personal L2,Offer3,Branch,388.8,Four-Door Car,Medsize,A,2
106,LP47259,Arizona,8324.23271,No,Extended,High School or Below,2011-01-01,Unemployed,M,0,Suburban,Single,121,15.11182,92,0.386309,5,Corporate Auto,Corporate L3,Offer2,Branch,871.2,Sports Car,Medsize,A,1
108,SD83603,Oregon,6672.127831,No,Extended,College,2011-02-13,Employed,F,56830,Urban,Married,83,15.11182,27,0.386309,9,Personal Auto,Personal L1,Offer2,Agent,319.799712,Two-Door Car,Medsize,A,2
110,HB48073,Arizona,9371.773682,No,Basic,Bachelor,2011-02-01,Employed,F,66325,Urban,Married,117,10.0,10,0.0,5,Corporate Auto,Corporate L2,Offer1,Agent,497.719213,SUV,Medsize,A,2
113,EC28398,Oregon,5096.673223,Yes,Basic,Master,2011-01-28,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,A,1
114,FE99816,Nevada,15563.36944,No,Premium,Bachelor,2011-01-19,Unemployed,F,0,Suburban,Married,253,15.0,40,5.0,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,A,1
115,HS39343,Washington,7475.784971,No,Basic,Bachelor,2011-01-26,Disabled,F,29633,Urban,Married,196,26.0,57,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.653787,Luxury Car,Medsize,A,1
117,EF84269,California,5568.656492,No,Extended,College,2011-02-21,Employed,F,51489,Rural,Married,139,14.0,10,0.0,1,Personal Auto,Personal L2,Offer1,Web,236.739322,SUV,Medsize,A,2
118,RD22761,Washington,20579.69157,No,Basic,Bachelor,2011-01-16,Unemployed,M,0,Suburban,Single,69,5.0,26,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,566.673518,Four-Door Car,Medsize,A,1
119,DO41287,Oregon,8276.44416,No,Extended,High School or Below,2011-02-18,Unemployed,M,0,Suburban,Single,82,29.0,92,0.0,2,Personal Auto,Personal L2,Offer3,Branch,590.4,Four-Door Car,Medsize,A,2
122,EW33419,California,15114.40241,Yes,Basic,High School or Below,2011-01-19,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1.0,2,Corporate Auto,Corporate L2,Offer2,Call Center,480.0,SUV,Medsize,A,1
123,KH16079,Washington,4709.52218,No,Basic,High School or Below,2011-02-12,Unemployed,F,0,Suburban,Single,66,17.0,29,0.0,3,Personal Auto,Personal L1,Offer1,Agent,470.576119,Four-Door Car,Small,A,2
129,ZM45168,Oregon,2398.354197,No,Basic,College,2011-02-14,Disabled,M,14321,Suburban,Single,65,20.0,72,0.0,1,Personal Auto,Personal L2,Offer1,Branch,423.823547,Four-Door Car,Medsize,A,2
134,BP28492,Arizona,4834.710493,Yes,Basic,College,2011-01-31,Employed,F,38713,Suburban,Divorced,66,31.0,69,4.0,6,Corporate Auto,Corporate L3,Offer2,Call Center,316.8,Four-Door Car,Medsize,A,1
137,GS85403,Washington,9031.214859,Yes,Extended,Master,2011-02-23,Unemployed,F,0,Suburban,Single,122,15.0,47,0.0,9,Corporate Auto,Corporate L2,Offer1,Branch,650.52179,Sports Car,Medsize,A,2
138,SK95364,California,4620.390087,No,Extended,College,2011-02-26,Unemployed,F,0,Suburban,Single,130,11.0,0,0.0,1,Personal Auto,Personal L2,Offer3,Agent,936.0,SUV,Medsize,A,2
139,UI80897,Washington,5552.596353,No,Basic,High School or Below,2011-02-27,Employed,M,50470,Suburban,Divorced,71,1.0,87,0.0,8,Corporate Auto,Corporate L2,Offer4,Call Center,377.498287,Two-Door Car,Large,A,2
141,WP64059,California,5093.379714,No,Basic,Bachelor,2011-01-06,Employed,F,91814,Urban,Married,63,30.0,99,0.0,3,Personal Auto,Personal L1,Offer3,Call Center,167.037619,Two-Door Car,Medsize,A,1
142,IP52990,Oregon,16794.31422,No,Basic,High School or Below,2011-02-24,Employed,F,38399,Urban,Married,106,12.0,6,0.0,2,Personal Auto,Personal L3,Offer2,Web,368.890904,SUV,Medsize,A,2
143,VF36700,Oregon,24278.10167,No,Extended,Master,2011-02-26,Retired,F,20983,Urban,Single,97,10.0,52,1.0,2,Personal Auto,Personal L2,Offer1,Branch,451.751555,Four-Door Car,Medsize,A,2
144,NR16284,California,7462.926263,Yes,Extended,College,2011-01-28,Employed,F,70263,Rural,Married,93,30.0,66,0.0,5,Personal Auto,Personal L3,Offer2,Call Center,7.345946,Two-Door Car,Small,A,1
146,XX53620,Oregon,2891.272351,No,Basic,Bachelor,2011-02-02,Employed,F,80590,Rural,Married,71,4.0,19,0.0,1,Corporate Auto,Corporate L3,Offer4,Branch,134.158389,Four-Door Car,Small,A,2
152,AZ64856,California,5048.051359,No,Extended,High School or Below,2011-02-17,Employed,F,34452,Suburban,Married,126,2.0,51,0.0,1,Personal Auto,Personal L1,Offer4,Agent,604.8,SUV,Large,A,2
153,SA88518,Oregon,7737.265103,No,Basic,College,2011-01-19,Employed,F,50296,Rural,Married,65,26.0,62,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,46.804,Two-Door Car,Medsize,A,1
156,MW48891,Washington,8007.399376,Yes,Basic,High School or Below,2011-01-02,Unemployed,F,0,Suburban,Divorced,112,12.0,93,0.0,3,Personal Auto,Personal L3,Offer1,Web,537.6,Sports Car,Medsize,A,1
159,KX55910,Oregon,4957.033603,No,Basic,College,2011-01-15,Employed,F,62803,Suburban,Married,62,16.0,12,0.0,5,Personal Auto,Personal L3,Offer2,Web,400.959425,Two-Door Car,Small,A,1
161,QB47024,Washington,5898.733666,No,Extended,Bachelor,2011-02-17,Employed,F,53998,Suburban,Divorced,78,5.0,38,5.0,8,Personal Auto,Personal L3,Offer1,Call Center,414.519064,Four-Door Car,Medsize,A,2
165,JL70559,Arizona,5310.861767,No,Basic,College,2011-02-02,Unemployed,F,0,Suburban,Married,72,17.0,11,1.0,3,Personal Auto,Personal L1,Offer1,Branch,345.6,Four-Door Car,Small,A,2
166,TW73441,Nevada,2773.455358,No,Basic,High School or Below,2011-01-26,Employed,F,73478,Urban,Married,68,2.0,38,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,241.88878,Four-Door Car,Medsize,A,1
167,PZ47901,Arizona,5504.139033,Yes,Basic,Bachelor,2011-02-08,Unemployed,F,0,Suburban,Married,73,18.0,45,0.0,5,Corporate Auto,Corporate L3,Offer1,Call Center,350.4,Four-Door Car,Medsize,A,2
171,HX74855,Washington,2471.528431,Yes,Basic,High School or Below,2011-01-15,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L3,Offer2,Agent,114.273025,Two-Door Car,Medsize,A,1
173,CV40610,California,12313.16484,No,Premium,College,2011-01-17,Unemployed,M,0,Suburban,Single,116,7.0,57,0.0,2,Personal Auto,Personal L1,Offer1,Call Center,835.2,Two-Door Car,Medsize,A,1
174,MV69686,Oregon,3982.180708,No,Extended,Doctor,2011-01-03,Employed,F,38500,Urban,Married,99,26.0,49,1.0,1,Corporate Auto,Corporate L2,Offer1,Agent,423.286512,Four-Door Car,Large,A,1
175,IB67546,California,8237.037945,No,Basic,Bachelor,2011-01-17,Medical Leave,F,23940,Suburban,Married,107,13.0,34,0.0,7,Personal Auto,Personal L3,Offer1,Call Center,513.6,SUV,Small,A,1
180,IG89777,California,7356.559341,No,Extended,High School or Below,2011-01-09,Employed,M,81145,Urban,Married,92,34.0,92,0.0,8,Corporate Auto,Corporate L2,Offer2,Call Center,321.060571,Two-Door Car,Large,A,1
182,FL82372,Oregon,8672.194272,No,Basic,College,2011-01-26,Employed,F,22547,Suburban,Divorced,112,7.0,60,0.0,3,Corporate Auto,Corporate L3,Offer1,Agent,537.6,SUV,Medsize,A,1
185,DR84620,California,8071.334962,No,Basic,Bachelor,2011-02-07,Employed,M,72149,Rural,Married,101,18.0,43,0.0,6,Personal Auto,Personal L2,Offer2,Call Center,69.310166,SUV,Medsize,A,2
188,QQ25666,Arizona,14510.7505,No,Basic,High School or Below,2011-01-25,Employed,M,60120,Urban,Married,182,30.0,21,0.0,6,Personal Auto,Personal L3,Offer2,Branch,716.469391,Luxury Car,Medsize,A,1
191,YU79270,Arizona,4633.336334,No,Basic,College,2011-01-15,Medical Leave,M,27132,Suburban,Single,63,32.0,59,1.0,4,Personal Auto,Personal L1,Offer1,Branch,302.4,Four-Door Car,Medsize,A,1
194,KC22636,California,5488.931031,No,Basic,High School or Below,2011-02-17,Employed,F,33881,Rural,Married,68,11.0,83,0.0,9,Personal Auto,Personal L3,Offer2,Web,65.659137,Four-Door Car,Large,A,2
195,SO43919,California,14228.23432,No,Extended,Bachelor,2011-01-16,Employed,M,31650,Suburban,Married,121,25.0,17,0.0,2,Personal Auto,Personal L3,Offer1,Branch,580.8,SUV,Medsize,A,1
197,WW30771,Arizona,2673.319593,No,Basic,Master,2011-02-13,Employed,M,28728,Suburban,Married,67,8.0,10,0.0,1,Personal Auto,Personal L3,Offer4,Branch,321.6,Four-Door Car,Small,A,2
198,BL29046,Oregon,5332.462694,Yes,Basic,Doctor,2011-02-22,Employed,F,68931,Urban,Married,66,32.0,30,0.0,7,Corporate Auto,Corporate L2,Offer2,Branch,309.577946,Four-Door Car,Medsize,A,2
199,LN50325,Arizona,10064.60828,No,Extended,High School or Below,2011-02-03,Employed,F,20440,Suburban,Married,128,11.0,54,2.0,9,Corporate Auto,Corporate L3,Offer3,Branch,614.4,Sports Car,Medsize,A,2
200,TL43709,Washington,8972.140307,No,Basic,Bachelor,2011-01-27,Employed,M,89689,Rural,Divorced,74,15.11182,4,0.386309,2,Personal Auto,Personal L3,Offer1,Branch,136.829537,Four-Door Car,Large,A,1
203,SZ70655,California,4293.009593,No,Basic,College,2011-01-31,Unemployed,F,0,Suburban,Single,61,18.0,15,0.0,8,Corporate Auto,Corporate L3,Offer1,Agent,292.8,Two-Door Car,Large,A,1
204,QP69826,Arizona,3567.503755,Yes,Basic,Bachelor,2011-01-07,Unemployed,M,0,Suburban,Married,102,28.0,11,0.0,1,Corporate Auto,Corporate L2,Offer2,Agent,660.430456,SUV,Medsize,A,1
209,CM78608,California,5823.162917,No,Basic,High School or Below,2011-01-31,Employed,F,88359,Rural,Divorced,73,1.0,49,0.0,9,Personal Auto,Personal L3,Offer2,Call Center,35.915639,Two-Door Car,Medsize,A,1
212,UX91266,California,3484.141641,No,Extended,Bachelor,2011-01-10,Employed,M,34307,Rural,Divorced,92,33.0,62,2.0,1,Personal Auto,Personal L3,Offer1,Call Center,186.025014,Four-Door Car,Medsize,A,1
213,WO53546,Oregon,34039.05613,No,Basic,College,2011-01-28,Unemployed,M,0,Suburban,Divorced,104,26.0,66,0.0,2,Personal Auto,Personal L3,Offer2,Agent,499.2,Sports Car,Medsize,A,1
214,ZX85480,Washington,7995.441263,No,Basic,High School or Below,2011-01-02,Employed,F,66685,Rural,Married,67,35.0,50,2.0,2,Personal Auto,Personal L2,Offer2,Call Center,38.763897,Two-Door Car,Large,A,1
216,QJ22057,Nevada,4454.104455,No,Basic,College,2011-02-22,Unemployed,F,0,Suburban,Single,68,5.0,72,1.0,3,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Large,A,2
217,FZ79470,Arizona,5395.346288,No,Basic,Bachelor,2011-02-24,Unemployed,F,0,Suburban,Married,74,13.0,30,0.0,4,Personal Auto,Personal L2,Offer3,Web,355.2,Four-Door Car,Medsize,A,2
219,VE64781,Arizona,2927.07045,No,Basic,Bachelor,2011-02-14,Employed,F,75685,Suburban,Married,73,35.0,47,0.0,1,Personal Auto,Personal L3,Offer2,Agent,369.918482,Four-Door Car,Small,A,2
221,UB51030,Washington,6582.450781,No,Basic,High School or Below,2011-02-15,Unemployed,F,0,Suburban,Single,62,3.0,44,0.0,2,Special Auto,Special L3,Offer1,Agent,297.6,Four-Door Car,Medsize,A,2
223,IE36279,California,2844.849804,No,Basic,Bachelor,2011-02-06,Employed,M,80306,Suburban,Divorced,71,11.0,12,0.0,1,Corporate Auto,Corporate L1,Offer3,Call Center,340.8,Two-Door Car,Medsize,A,2
225,BT20606,Arizona,5837.528088,No,Basic,Doctor,2011-01-10,Employed,M,83308,Suburban,Married,73,15.11182,81,0.386309,7,Personal Auto,Personal L2,Offer3,Agent,419.471438,Four-Door Car,Medsize,A,1
227,BW80872,Washington,4434.411172,No,Premium,High School or Below,2011-01-13,Employed,M,34549,Rural,Married,111,8.0,78,0.0,1,Personal Auto,Personal L2,Offer2,Web,125.933005,Four-Door Car,Medsize,A,1
229,EP29567,Washington,7031.463693,No,Extended,Master,2011-01-24,Retired,M,16224,Suburban,Married,93,13.0,55,0.0,9,Corporate Auto,Corporate L1,Offer3,Web,498.452698,Four-Door Car,Medsize,A,1
230,AX70794,California,2449.31771,No,Basic,High School or Below,2011-02-04,Employed,M,47122,Suburban,Single,62,6.0,77,0.0,1,Personal Auto,Personal L2,Offer2,Branch,297.6,Two-Door Car,Medsize,A,2
231,NJ46849,Arizona,2504.444752,No,Basic,College,2011-01-09,Unemployed,M,0,Suburban,Single,69,23.0,15,0.0,1,Personal Auto,Personal L2,Offer2,Branch,496.8,Four-Door Car,Medsize,A,1
232,WH20102,California,9095.049868,Yes,Basic,College,2011-01-11,Employed,M,37937,Suburban,Married,116,11.0,42,0.0,5,Personal Auto,Personal L2,Offer2,Call Center,556.8,SUV,Medsize,A,1
233,QO86948,Nevada,8071.65295,No,Basic,High School or Below,2011-02-18,Unemployed,M,0,Suburban,Single,112,3.0,84,0.0,7,Personal Auto,Personal L3,Offer1,Web,806.4,SUV,Small,A,2
234,DN14211,Oregon,15032.9003,No,Basic,College,2011-01-17,Medical Leave,M,17150,Suburban,Married,65,28.0,19,0.0,2,Personal Auto,Personal L2,Offer1,Agent,689.800891,Two-Door Car,Medsize,A,1
236,YJ16163,Oregon,11009.13049,Yes,Premium,Bachelor,2011-01-24,Employed,F,51643,Suburban,Single,283,16.0,43,0.0,1,Special Auto,Special L3,Offer2,Agent,1358.4,Luxury Car,Medsize,A,1
240,LH26563,Oregon,4550.856045,No,Premium,High School or Below,2011-02-08,Disabled,F,17913,Suburban,Married,116,0.0,39,0.0,1,Personal Auto,Personal L3,Offer3,Web,556.8,Four-Door Car,Small,A,2
243,LE65901,Oregon,4434.941371,No,Basic,Bachelor,2011-02-20,Employed,F,58082,Rural,Married,112,31.0,66,1.0,1,Personal Auto,Personal L3,Offer1,Call Center,103.022126,SUV,Medsize,A,2
246,MR60878,Oregon,15762.53198,No,Basic,Bachelor,2011-02-15,Employed,F,44362,Rural,Married,66,15.0,75,0.0,2,Corporate Auto,Corporate L3,Offer2,Call Center,142.113373,Four-Door Car,Small,A,2
247,CY45848,Oregon,4273.587765,No,Premium,Bachelor,2011-01-30,Employed,F,82214,Rural,Married,106,11.0,19,1.0,1,Personal Auto,Personal L1,Offer3,Branch,239.143671,Four-Door Car,Medsize,A,1
250,HH30454,Oregon,32654.8383,No,Premium,Bachelor,2011-02-23,Unemployed,M,0,Suburban,Single,153,7.0,75,0.0,2,Personal Auto,Personal L3,Offer3,Branch,1101.6,SUV,Medsize,A,2
253,NI18835,California,2927.734329,No,Basic,Bachelor,2011-02-15,Employed,M,51991,Rural,Married,73,4.0,95,0.0,1,Personal Auto,Personal L3,Offer2,Web,124.376921,Four-Door Car,Medsize,A,2
254,RS66246,California,2943.045259,No,Extended,High School or Below,2011-01-18,Unemployed,F,0,Suburban,Single,81,15.11182,23,0.386309,1,Personal Auto,Personal L3,Offer4,Branch,388.8,Two-Door Car,Large,A,1
257,NL75739,Arizona,7590.050089,No,Basic,High School or Below,2011-01-02,Disabled,M,10375,Suburban,Married,66,10.0,95,0.0,2,Personal Auto,Personal L3,Offer1,Branch,316.8,Two-Door Car,Medsize,A,1
258,RF94484,Oregon,4605.036646,Yes,Basic,College,2011-01-28,Medical Leave,F,22571,Suburban,Single,63,29.0,51,0.0,9,Corporate Auto,Corporate L3,Offer2,Web,302.4,Four-Door Car,Large,A,1
259,JA24437,California,7555.828789,No,Premium,College,2011-02-25,Unemployed,M,0,Suburban,Single,114,15.11182,50,0.386309,3,Personal Auto,Personal L3,Offer1,Branch,820.8,Four-Door Car,Medsize,A,2
263,TK38732,Oregon,4873.350518,No,Extended,High School or Below,2011-02-18,Employed,M,47824,Urban,Married,129,8.0,56,3.0,1,Personal Auto,Personal L2,Offer4,Agent,546.046853,SUV,Medsize,A,2
264,FI86516,Oregon,4786.054889,No,Basic,Bachelor,2011-01-26,Unemployed,F,0,Suburban,Single,68,4.0,67,0.0,9,Corporate Auto,Corporate L1,Offer1,Agent,489.6,Four-Door Car,Small,A,1
266,BS90503,Washington,5395.091602,No,Basic,Bachelor,2011-02-15,Employed,F,86640,Rural,Married,67,2.0,25,0.0,5,Personal Auto,Personal L1,Offer2,Web,65.457366,Four-Door Car,Medsize,A,2
267,AG39150,Oregon,2356.074955,No,Basic,Bachelor,2011-02-04,Unemployed,M,0,Suburban,Married,63,22.0,94,0.0,1,Personal Auto,Personal L3,Offer1,Agent,302.4,Four-Door Car,Medsize,A,2
